number,name,height,weight,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,generation,image_url
14,kakuna,0.6,10.0,bug,poison,45,25,50,25,25,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,beedrill,1.0,29.5,bug,poison,65,90,40,45,80,75,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,pidgey,0.3,1.8,normal,flying,40,45,40,35,35,56,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,pidgeotto,1.1,30.0,normal,flying,63,60,55,50,50,71,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,pidgeot,1.5,39.5,normal,flying,83,80,75,70,70,101,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,rattata,0.3,3.5,normal,none,30,56,35,25,35,72,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,raticate,0.7,18.5,normal,none,55,81,60,50,70,97,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,spearow,0.3,2.0,normal,flying,40,60,30,31,31,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,fearow,1.2,38.0,normal,flying,65,90,65,61,61,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,ekans,2.0,6.9,poison,none,35,60,44,40,54,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,arbok,3.5,65.0,poison,none,60,95,69,65,79,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,pikachu,0.4,6.0,electric,none,35,55,40,50,50,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,raichu,0.8,30.0,electric,none,60,90,55,90,80,110,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,sandshrew,0.6,12.0,ground,none,50,75,85,20,30,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,sandslash,1.0,29.5,ground,none,75,100,110,45,55,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,nidoran-f,0.4,7.0,poison,none,55,47,52,40,40,41,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,nidorina,0.8,20.0,poison,none,70,62,67,55,55,56,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,nidoqueen,1.3,60.0,poison,ground,90,92,87,75,85,76,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,nidoran-m,0.5,9.0,poison,none,46,57,40,40,40,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,nidorino,0.9,19.5,poison,none,61,72,57,55,55,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,nidoking,1.4,62.0,poison,ground,81,102,77,85,75,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,clefairy,0.6,7.5,fairy,none,70,45,48,60,65,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,clefable,1.3,40.0,fairy,none,95,70,73,95,90,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,vulpix,0.6,9.9,fire,none,38,41,40,50,65,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,ninetales,1.1,19.9,fire,none,73,76,75,81,100,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,jigglypuff,0.5,5.5,normal,fairy,115,45,20,45,25,20,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,wigglytuff,1.0,12.0,normal,fairy,140,70,45,85,50,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,zubat,0.8,7.5,poison,flying,40,45,35,30,40,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,golbat,1.6,55.0,poison,flying,75,80,70,65,75,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,oddish,0.5,5.4,grass,poison,45,50,55,75,65,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,gloom,0.8,8.6,grass,poison,60,65,70,85,75,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,vileplume,1.2,18.6,grass,poison,75,80,85,110,90,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,paras,0.3,5.4,bug,grass,35,70,55,45,55,25,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,parasect,1.0,29.5,bug,grass,60,95,80,60,80,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,venonat,1.0,30.0,bug,poison,60,55,50,40,55,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,venomoth,1.5,12.5,bug,poison,70,65,60,90,75,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,diglett,0.2,0.8,ground,none,10,55,25,35,45,95,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,dugtrio,0.7,33.3,ground,none,35,100,50,50,70,120,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,meowth,0.4,4.2,normal,none,40,45,35,40,40,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,persian,1.0,32.0,normal,none,65,70,60,65,65,115,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,psyduck,0.8,19.6,water,none,50,52,48,65,50,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,golduck,1.7,76.6,water,none,80,82,78,95,80,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,mankey,0.5,28.0,fighting,none,40,80,35,35,45,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,primeape,1.0,32.0,fighting,none,65,105,60,60,70,95,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,growlithe,0.7,19.0,fire,none,55,70,45,70,50,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,arcanine,1.9,155.0,fire,none,90,110,80,100,80,95,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,poliwag,0.6,12.4,water,none,40,50,40,40,40,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,poliwhirl,1.0,20.0,water,none,65,65,65,50,50,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,poliwrath,1.3,54.0,water,fighting,90,95,95,70,90,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,abra,0.9,19.5,psychic,none,25,20,15,105,55,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,kadabra,1.3,56.5,psychic,none,40,35,30,120,70,105,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,alakazam,1.5,48.0,psychic,none,55,50,45,135,95,120,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,machop,0.8,19.5,fighting,none,70,80,50,35,35,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,machoke,1.5,70.5,fighting,none,80,100,70,50,60,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,machamp,1.6,130.0,fighting,none,90,130,80,65,85,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,bellsprout,0.7,4.0,grass,poison,50,75,35,70,30,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,weepinbell,1.0,6.4,grass,poison,65,90,50,85,45,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,victreebel,1.7,15.5,grass,poison,80,105,65,100,70,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,tentacool,0.9,45.5,water,poison,40,40,35,50,100,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,tentacruel,1.6,55.0,water,poison,80,70,65,80,120,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,geodude,0.4,20.0,rock,ground,40,80,100,30,30,20,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,graveler,1.0,105.0,rock,ground,55,95,115,45,45,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,golem,1.4,300.0,rock,ground,80,120,130,55,65,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,ponyta,1.0,30.0,fire,none,50,85,55,65,65,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,rapidash,1.7,95.0,fire,none,65,100,70,80,80,105,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,slowpoke,1.2,36.0,water,psychic,90,65,65,40,40,15,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,slowbro,1.6,78.5,water,psychic,95,75,110,100,80,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,magnemite,0.3,6.0,electric,steel,25,35,70,95,55,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,magneton,1.0,60.0,electric,steel,50,60,95,120,70,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,farfetchd,0.8,15.0,normal,flying,52,90,55,58,62,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,doduo,1.4,39.2,normal,flying,35,85,45,35,35,75,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,dodrio,1.8,85.2,normal,flying,60,110,70,60,60,110,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,seel,1.1,90.0,water,none,65,45,55,45,70,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,dewgong,1.7,120.0,water,ice,90,70,80,70,95,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,grimer,0.9,30.0,poison,none,80,80,50,40,50,25,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,muk,1.2,30.0,poison,none,105,105,75,65,100,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,shellder,0.3,4.0,water,none,30,65,100,45,25,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,cloyster,1.5,132.5,water,ice,50,95,180,85,45,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,gastly,1.3,0.1,ghost,poison,30,35,30,100,35,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,haunter,1.6,0.1,ghost,poison,45,50,45,115,55,95,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,gengar,1.5,40.5,ghost,poison,60,65,60,130,75,110,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,onix,8.8,210.0,rock,ground,35,45,160,30,45,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,drowzee,1.0,32.4,psychic,none,60,48,45,43,90,42,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,hypno,1.6,75.6,psychic,none,85,73,70,73,115,67,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,krabby,0.4,6.5,water,none,30,105,90,25,25,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,kingler,1.3,60.0,water,none,55,130,115,50,50,75,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,voltorb,0.5,10.4,electric,none,40,30,50,55,55,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,electrode,1.2,66.6,electric,none,60,50,70,80,80,150,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,exeggcute,0.4,2.5,grass,psychic,60,40,80,60,45,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,exeggutor,2.0,120.0,grass,psychic,95,95,85,125,75,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,cubone,0.4,6.5,ground,none,50,50,95,40,50,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,marowak,1.0,45.0,ground,none,60,80,110,50,80,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,hitmonlee,1.5,49.8,fighting,none,50,120,53,35,110,87,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,hitmonchan,1.4,50.2,fighting,none,50,105,79,35,110,76,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,lickitung,1.2,65.5,normal,none,90,55,75,60,75,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,koffing,0.6,1.0,poison,none,40,65,95,60,45,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,weezing,1.2,9.5,poison,none,65,90,120,85,70,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,rhyhorn,1.0,115.0,ground,rock,80,85,95,30,30,25,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,rhydon,1.9,120.0,ground,rock,105,130,120,45,45,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,chansey,1.1,34.6,normal,none,250,5,5,35,105,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,tangela,1.0,35.0,grass,none,65,55,115,100,40,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,kangaskhan,2.2,80.0,normal,none,105,95,80,40,80,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
116,horsea,0.4,8.0,water,none,30,40,70,70,25,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,seadra,1.2,25.0,water,none,55,65,95,95,45,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
118,goldeen,0.6,15.0,water,none,45,67,60,35,50,63,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
119,seaking,1.3,39.0,water,none,80,92,65,65,80,68,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
120,staryu,0.8,34.5,water,none,30,45,55,70,55,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
121,starmie,1.1,80.0,water,psychic,60,75,85,100,85,115,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
122,mr-mime,1.3,54.5,psychic,fairy,40,45,65,100,120,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
123,scyther,1.5,56.0,bug,flying,70,110,80,55,80,105,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
124,jynx,1.4,40.6,ice,psychic,65,50,35,115,95,95,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
125,electabuzz,1.1,30.0,electric,none,65,83,57,95,85,105,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
126,magmar,1.3,44.5,fire,none,65,95,57,100,85,93,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
127,pinsir,1.5,55.0,bug,none,65,125,100,55,70,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
128,tauros,1.4,88.4,normal,none,75,100,95,40,70,110,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
129,magikarp,0.9,10.0,water,none,20,10,55,15,20,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
130,gyarados,6.5,235.0,water,flying,95,125,79,60,100,81,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
131,lapras,2.5,220.0,water,ice,130,85,80,85,95,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
132,ditto,0.3,4.0,normal,none,48,48,48,48,48,48,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
133,eevee,0.3,6.5,normal,none,55,55,50,45,65,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
134,vaporeon,1.0,29.0,water,none,130,65,60,110,95,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
135,jolteon,0.8,24.5,electric,none,65,65,60,110,95,130,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
136,flareon,0.9,25.0,fire,none,65,130,60,95,110,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
137,porygon,0.8,36.5,normal,none,65,60,70,85,75,40,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
138,omanyte,0.4,7.5,rock,water,35,40,100,90,55,35,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
139,omastar,1.0,35.0,rock,water,70,60,125,115,70,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
140,kabuto,0.5,11.5,rock,water,30,80,90,55,45,55,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
141,kabutops,1.3,40.5,rock,water,60,115,105,65,70,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
142,aerodactyl,1.8,59.0,rock,flying,80,105,65,60,75,130,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
143,snorlax,2.1,460.0,normal,none,160,110,65,65,110,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
144,articuno,1.7,55.4,ice,flying,90,85,100,95,125,85,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
145,zapdos,1.6,52.6,electric,flying,90,90,85,125,90,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
146,moltres,2.0,60.0,fire,flying,90,100,90,125,85,90,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
147,dratini,1.8,3.3,dragon,none,41,64,45,50,50,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
148,dragonair,4.0,16.5,dragon,none,61,84,65,70,70,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
149,dragonite,2.2,210.0,dragon,flying,91,134,95,100,100,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
150,mewtwo,2.0,122.0,psychic,none,106,110,90,154,90,130,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
151,mew,0.4,4.0,psychic,none,100,100,100,100,100,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
152,chikorita,0.9,6.4,grass,none,45,49,65,49,65,45,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
153,bayleef,1.2,15.8,grass,none,60,62,80,63,80,60,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
154,meganium,1.8,100.5,grass,none,80,82,100,83,100,80,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
155,cyndaquil,0.5,7.9,fire,none,39,52,43,60,50,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
156,quilava,0.9,19.0,fire,none,58,64,58,80,65,80,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
157,typhlosion,1.7,79.5,fire,none,78,84,78,109,85,100,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
158,totodile,0.6,9.5,water,none,50,65,64,44,48,43,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
159,croconaw,1.1,25.0,water,none,65,80,80,59,63,58,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
160,feraligatr,2.3,88.8,water,none,85,105,100,79,83,78,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
161,sentret,0.8,6.0,normal,none,35,46,34,35,45,20,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
162,furret,1.8,32.5,normal,none,85,76,64,45,55,90,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
163,hoothoot,0.7,21.2,normal,flying,60,30,30,36,56,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
164,noctowl,1.6,40.8,normal,flying,100,50,50,86,96,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
165,ledyba,1.0,10.8,bug,flying,40,20,30,40,80,55,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
166,ledian,1.4,35.6,bug,flying,55,35,50,55,110,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
167,spinarak,0.5,8.5,bug,poison,40,60,40,40,40,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
168,ariados,1.1,33.5,bug,poison,70,90,70,60,70,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
169,crobat,1.8,75.0,poison,flying,85,90,80,70,80,130,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
170,chinchou,0.5,12.0,water,electric,75,38,38,56,56,67,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
171,lanturn,1.2,22.5,water,electric,125,58,58,76,76,67,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
172,pichu,0.3,2.0,electric,none,20,40,15,35,35,60,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
173,cleffa,0.3,3.0,fairy,none,50,25,28,45,55,15,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
174,igglybuff,0.3,1.0,normal,fairy,90,30,15,40,20,15,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
175,togepi,0.3,1.5,fairy,none,35,20,65,40,65,20,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
176,togetic,0.6,3.2,fairy,flying,55,40,85,80,105,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
177,natu,0.2,2.0,psychic,flying,40,50,45,70,45,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
178,xatu,1.5,15.0,psychic,flying,65,75,70,95,70,95,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
179,mareep,0.6,7.8,electric,none,55,40,40,65,45,35,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
